name,price,item_id,category,description
Saint Laurent SL451 001 Sunglasses - Black -Square Frames,$139.99- $97.95,24122029030,Sunglasses,"['Brand:Saint Laurent', 'Type:Sunglasses', 'Department:Womens', 'Frame Color:Black', 'Style:Square', 'Lens Color:Black', 'Frame Material:Acetate', 'MPN:SL451', 'Model:SL451']"
Nike Lunar Force 1 Duckboot Men's Size 8.5 Sneakers (805899-004),$119.99- $107.98,23721047300,Casual Shoes,"['Brand:Nike', 'US Shoe Size:8.5', 'Style:Hi-top', 'Color:BLACK/LIGHT BRITISH TAN-GOLD DART', 'Department:Men', 'Upper Material:Leather', 'Type:Sneakers', 'Model:Lunar Force 1 Duckboot', 'MPN:805899-004']"
Gucci Ophidia Chain Shoulder Bag,$649.99,24915029808,Women's Bags & Handbags,"['Brand:Gucci', 'Exterior Material:Leather', 'Style:Shoulder Bag', 'Exterior Color:Burgundy', 'Department:Women', 'Model:Ophidia']"
Oakley Gascan OO9014-8160 Prizm Deep Water Polarized Men's Sunglasses,$99.99,25121042074,Sunglasses,"['Brand:Oakley', 'Department:Men', 'Type:Sunglasses', 'Frame Color:Multicolor', 'Model:Gascan', 'Style:Wrap', 'Lens Technology:Polarized', 'Lens Color:Prizm Deep Water', 'Frame Material:Acetate', 'MPN:OO9014-8160']"
Michael Kors 30T8GXIS2L001 Whitney Ladies Medium Leather Satchel Bag - Black,$99.99,24223020111,Women's Bags & Handbags,"['Brand:Michael Kors', 'Exterior Material:Leather', 'Style:Satchel Bag', 'Exterior Color:Black', ""Department:Women's"", 'Product Line:Whitney Ladies', 'Size:Medium', 'Model:30T8GXIS2L001', 'MPN:Does Not Apply']"
Tiffany & Co. TF3095 Azure Gradient Blue Women's Sunglasses,$259.99,23422050985,Sunglasses,"['Brand:Tiffany & Co.', 'Type:Sunglasses', ""Department:Women's"", 'Frame Color:Silver', 'Lens Color:Blue', 'Frame Material:Stainless Steel', 'Model:TF3095']"
Versace VE2264 Matte Gold / Light Violet Sunglasses,$199.99,23422050986,Sunglasses,"['Brand:Versace', 'Type:Sunglasses', ""Department:Women's"", 'Frame Color:Matte Gold', 'Lens Color:Light Violet', 'Model:VE2264', 'Country/Region of Manufacture:Italy']"
Coach Cary CC435 Women's Soft Pebble Leather Shoulder Bag,$159.99,25123046502,Women's Bags & Handbags,"['Brand:Coach', 'Exterior Material:Leather', 'Style:Casual', 'Exterior Color:Light Blue', ""Department:Women's"", 'Closure:Zipper', 'Model:Cary', 'MPN:Does Not Apply']"
Saint Laurent YSL Ladies Fold-Over Button Down Magnetic Clasp Handbag Black,$999.99,23123024452,Women's Bags & Handbags,"['Brand:Saint Laurent', 'Exterior Material:Leather', 'Style:Bag', 'Exterior Color:Black', 'Department:Women', 'Lining Color:Black', 'Size:Medium']"
Louis Vuitton M45592 Passy Monogram Canvas Women's Shoulder Bag,$1699.99,24222024069,Women's Bags & Handbags,"['Brand:Louis Vuitton', 'Exterior Material:Canvas', 'Style:Shoulder Bag', 'Exterior Color:Brown', ""Department:Women's"", 'Product Line:Passy Monogram', 'Closure:Zip', 'Model:M45592', 'MPN:Does Not Apply']"
Louis Vuitton UB1280 Toiletry 15 Monogram Canvas Women's Pouch - Brown,$399.99,24222024503,Women's Bags & Handbags,"['Brand:Louis Vuitton', 'Exterior Material:Canvas', 'Style:Pouch Bag', 'Exterior Color:Brown', ""Department:Women's"", 'Lining Color:Toiletry', 'Size:Small', 'Closure:Zip', 'Model:UB1280', 'MPN:Does Not Apply']"
Oakley Thurso OO9286-0254 Prizm Black Polarized Men's Sunglasses,$149.99- $134.98,25123046261,Sunglasses,"['Brand:Oakley', ""Department:Men's"", 'Type:Sunglasses', 'Frame Color:Black', 'Model:Thurso', 'Lens Technology:Polarized', 'MPN:OO9286-0254']"
Harley-Davidson Women's Size LW Leather Jacket - Black,$249.99- $212.97,24323025299,"Coats, Jackets & Vests","['Brand:Harley-Davidson', 'Outer Shell Material:Leather', 'Type:Jacket', 'Size:LW', 'Style:Jacket', 'Color:Black', 'Department:Women']"
